Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
174.1,177.1,261.1,262.1,263.1,264.1,260.1,264.1,246.1,249.1,275.1,0,288.1,294.1,302.1,309.1,302.1,309.1,289.1,291.1,291.1,292.1,293.1,294.1,295.1,0,286.1,292.1,287.1,288.1,289.1,290.1,291.1,0,320.2,326.2,390.3,394.3,346.2,347.2,348.2,349.2,350.2,0,404.3,409.3,336.2,346.2,419.3,420.3,421.3,422.3,418.3,423.3,432.3,438.3,431.3,439.3,440.3,449.3,459.3,460.3,461.3,462.3,463.3,0,466.3,476.3,
38326,1255834,140421,31615,15199,312507,46761,428224,245371,434888,39348,0,19032,341684,54374,399411,20127,361735,36342,8602,8538,26415,652553,156613,69315,0,5264,251961,16924,17781,858323,209632,100475,0,17955,374782,56756,626720,3532,1134,1225,4569,14306,0,15775,291418,13573,403138,1729,1580,6366,13314,12109,173696,12453,613349,7102,81731,27836,557179,8494,4097,7042,39458,16212,0,9589,366704,
342971,1044973,129831,29573,14576,363509,19748,409585,68871,390293,5866,0,7654,319143,23362,381962,9984,349365,78360,20601,20583,33301,833643,198811,89376,0,2534,194169,183249,68805,1320402,323316,157360,0,10373,355388,26014,563358,8176,2432,3473,21912,115775,0,5907,268645,5588,384495,201253,77431,91671,254995,1658,243203,8511,474365,2727,76874,4475,407521,9167,3940,3904,54882,21463,0,3213,295079,
114600,508855,79903,18068,8591,166864,7822,168787,16693,166318,5842,0,3407,140817,10789,166102,4477,151608,33610,8739,8724,14856,371225,87517,38765,0,983,77186,59122,23797,536361,130132,62830,0,4867,156749,11798,240242,2657,890,1482,7662,32802,0,2651,116135,2680,169547,44955,17818,26845,74357,237,88843,1898,189545,1375,33276,1443,118292,3271,1389,1375,14738,5869,0,1633,138552,
29682,916106,99626,22431,10867,231466,33511,303560,271097,314490,12932,0,12590,245073,35394,287088,13384,262215,47975,9604,9572,22698,501653,119407,52615,0,4239,157056,16135,15447,609111,148635,72248,0,10971,265416,32682,443513,2468,841,941,3261,10265,0,9481,216832,8155,288937,1697,1806,6664,14629,2145,115037,9502,439286,3773,48635,16176,359771,8830,4679,7888,39350,16017,0,6306,259651,
377687,1217249,163110,37217,17875,394997,14859,439968,68148,423277,4245,0,6169,354709,19124,418699,7905,384764,96717,22496,22496,37496,933290,223414,99666,0,1802,201563,228050,83168,1386168,341081,164287,0,9873,397449,20596,619105,6626,2055,4059,24997,121947,0,4887,324967,4141,424686,302489,116430,141198,363640,803,264362,3552,506390,1991,87116,3705,432053,9741,4249,4965,78554,30370,0,2546,327350,
207691,616382,84359,19178,9276,198920,8507,194965,2234908,225153,5080,0,3712,169874,12388,200971,4680,183500,65687,14586,14586,20038,449603,107219,47839,0,1088,83797,57873,22617,352437,85827,43154,0,5144,180627,12588,287846,3142,1049,2068,10782,40363,0,2871,152820,2654,207640,83874,33352,40121,98229,528,115007,2645,258487,1216,35970,2236,207460,5999,2644,2455,21529,8756,0,1578,167407,
37387,1596237,162404,36646,17655,395801,30567,550800,232301,559701,5345,0,11347,428348,35494,509045,13716,462598,53067,11452,11452,35552,929649,224144,99983,0,5187,317364,18292,29715,1856923,456642,216183,0,14951,495267,38873,800191,2976,1090,1557,7750,33636,0,8777,341469,8304,518745,1350,1766,6157,29481,6322,237522,18450,822960,4619,98673,16283,693343,8478,5181,13055,78445,30605,0,5716,445014,
90549,581023,80096,17994,8717,180539,5129,163962,67077,177791,6332,0,2557,152025,8536,179513,3754,162448,33359,7283,7283,15454,403195,95582,42551,0,905,78211,47156,21266,665148,161114,76336,0,4050,157598,8547,257321,1429,561,857,5042,32789,0,1842,122243,2182,182355,10842,4788,8820,24544,301,88235,2531,222915,652,24392,642,87729,1221,570,662,5856,2430,0,1267,140149,
143359,1036679,138240,31205,15033,332378,11361,356243,267519,386202,15038,0,4766,293119,17839,345372,7747,314942,78392,14236,14236,29750,776028,185857,82374,0,1465,165126,88942,42706,1347533,329788,157233,0,8999,330017,15462,509474,3564,1235,1777,15384,128544,0,3212,217598,4546,350043,80980,31913,60550,217549,870,230217,5733,450721,2246,79917,2850,370978,7698,3201,3023,32443,12965,0,2417,271236,
