,Pyruvate,,,,Lactate,,,,Alanine,,,,Glycine,,,,Valine,,,,Leucine,,,,Isoleucine,,,,Succinate 1,,,,Succinate 2,,,,Succinate 3,,,,Succinate 4,,,,Proline,,,,Fumarate 1,,,,Fumarate 2,,,,Fumarate 3,,,,Methionine,,,,Serine,,,,a-kg,,,,Threonine,,,,Phenylalanine,,,,Malate 1,,,,Malate 2,,,,Aspartate,,,,Glutamate,,,,Lysine,,,,Histidine,,,,Histidine,,,,Citrate 1,,,,Citrate 2,,,,Citrate 3,,,,Tyrosine,,,,
,174.1,177.1,Ratio,,261.1,264.1,Ratio,,260.1,264.1,Ratio,,246.1,249.1,Ratio,,288.1,294.1,Ratio,,302.1,309.1,Ratio,,302.1,309.1,Ratio,,289.1,290.1,Ratio,,291.1,292.1,Ratio,,293.1,294.1,Ratio,,295.1,0,Ratio,,286.1,292.1,Ratio,,287.1,288.1,Ratio,,289.1,290.1,Ratio,,291.1,0,Ratio,,320.2,326.2,Ratio,,390.3,394.3,Ratio,,346.2,350.2,Ratio,,404.3,409.3,Ratio,,336.2,346.2,Ratio,,419.3,420.3,Ratio,,421.3,422.3,Ratio,,418.3,423.3,Ratio,,432.3,438.3,Ratio,,431.3,439.3,Ratio,,440.3,449.3,Ratio,,440.3,449.3,Ratio,,459.3,460.3,Ratio,,461.3,462.3,Ratio,,463.3,0,Ratio,,466.3,476.3,Ratio,,
LF1_0,213879.0,3654131.0,0.058530742329708486,,512626.0,1314227.0,0.39005894719861944,,494487.0,1571302.0,0.3146988930199287,,8119266.0,1710340.0,4.747164891191225,,135228.0,1258100.0,0.10748589142357523,,651970.0,1501168.0,0.43430848512624837,,223639.0,1351768.0,0.16544185096850939,,1048211.0,254642.0,4.116410490021285,,124014.0,113039.0,1.0970903847344722,,3128702.0,750820.0,4.167046695612797,,355583.0,0.0,Infinity,,9701.0,848632.0,0.011431338907795133,,6359025.0,1627190.0,3.9079794000700594,,6619193.0,1576291.0,4.199220194748305,,705573.0,0.0,Infinity,,192354.0,1502343.0,0.1280360077558853,,568348.0,2457507.0,0.2312701449070135,,70496.0,1627780.0,0.043308063743257685,,0.0,0.0,NaN,,180475.0,1529249.0,0.11801544418207892,,7849108.0,2827619.0,2.775871855437384,,1874107.0,2533231.0,0.7398089633357559,,146725.0,1635256.0,0.08972601231856052,,521252.0,2636649.0,0.1976948770958895,,32603.0,38842.0,0.8393749034550229,,2359.0,8630.0,0.27334878331402085,,460.0,0.0,Infinity,,350220.0,140751.0,2.488223884732613,,143420.0,1841872.0,0.07786643154356003,,710392.0,0.0,Infinity,,71017.0,873417.0,0.08130938600920294,,
LF1_0_rep,76865.0,1377259.0,0.055810127216449484,,177721.0,515218.0,0.34494330555221286,,212907.0,682568.0,0.3119205705512125,,3551303.0,731574.0,4.854331892604166,,55571.0,518132.0,0.1072525920035821,,270106.0,615737.0,0.4386710559865657,,93275.0,556478.0,0.16761668924917067,,62996.0,15425.0,4.084019448946515,,11588.0,38686.0,0.2995398852297989,,1264573.0,304661.0,4.150754445104559,,155146.0,0.0,Infinity,,3974.0,445111.0,0.008928110066927127,,336619.0,110968.0,3.033478119818326,,2151490.0,528172.0,4.0734647046795365,,246813.0,0.0,Infinity,,83820.0,654728.0,0.1280226292445107,,254926.0,1103865.0,0.2309394717651162,,32583.0,764494.0,0.042620347576305374,,79397.0,614757.0,0.12915184373663088,,81119.0,698190.0,0.11618470616880791,,227397.0,87812.0,2.5895891222156426,,249032.0,879575.0,0.28312764687491115,,75962.0,756151.0,0.10045877080107016,,255340.0,1306912.0,0.1953765823559658,,11954.0,0.0,Infinity,,804.0,0.0,Infinity,,42220.0,437346.0,0.09653683810987182,,147387.0,58932.0,2.500967216452861,,58427.0,838073.0,0.06971588393851132,,316692.0,0.0,Infinity,,44564.0,550141.0,0.0810046878891048,,
LF1_10,43671.0,1718083.0,0.02541844602385333,,145042.0,628956.0,0.2306075464738392,,87121.0,799101.0,0.10902376545643166,,178206.0,737540.0,0.24162214930715623,,24489.0,602146.0,0.04066953861688029,,136541.0,713242.0,0.19143712793133327,,52980.0,646060.0,0.08200476735906882,,124949.0,30992.0,4.031653329891585,,20921.0,46265.0,0.4521992867178212,,1493954.0,356855.0,4.186445475052893,,173028.0,0.0,Infinity,,2539.0,411775.0,0.006165988707425171,,1080750.0,284733.0,3.795661198385856,,2941305.0,710845.0,4.137758583094768,,325474.0,0.0,Infinity,,46236.0,756481.0,0.06111984306281321,,94324.0,1239375.0,0.07610610186585981,,32384.0,989598.0,0.03272439920048343,,26856.0,610964.0,0.04395676340995541,,35338.0,768596.0,0.04597734050138174,,947855.0,343634.0,2.7583271736789725,,275781.0,977008.0,0.28227097423971964,,205046.0,777836.0,0.263610838274392,,617683.0,1372681.0,0.4499829166426868,,9531.0,128375.0,0.07424342745861733,,7265.0,277418.0,0.026187918592160565,,7265.0,277418.0,0.026187918592160565,,106640.0,43846.0,2.432148884732929,,43017.0,765165.0,0.05621924682911529,,290715.0,0.0,Infinity,,20847.0,644979.0,0.0323219825761769,,
LF1_5,45653.0,868123.0,0.05258817010953517,,73777.0,305745.0,0.24130239251663968,,55029.0,374045.0,0.14711866219305164,,38758.0,322504.0,0.12017835437699997,,16806.0,290931.0,0.057766274477453416,,92430.0,337509.0,0.2738593637503,,35125.0,310192.0,0.11323631815133853,,69310.0,17108.0,4.051321019406126,,11309.0,23003.0,0.49163152632265356,,719145.0,171347.0,4.1970095770570826,,81220.0,0.0,Infinity,,1272.0,206113.0,0.006171372014380461,,591703.0,151617.0,3.9026164612147713,,1266577.0,304648.0,4.157509650481868,,142428.0,0.0,Infinity,,27327.0,333388.0,0.08196755732059942,,63191.0,566099.0,0.11162535174942899,,15883.0,369317.0,0.04300641454360346,,18445.0,279582.0,0.06597348899428432,,25610.0,372448.0,0.06876127674198815,,436145.0,159530.0,2.7339371904970853,,153099.0,486460.0,0.31472063479011636,,83277.0,340173.0,0.2448077889779612,,318162.0,641902.0,0.49565509999968843,,5615.0,40753.0,0.1377812676367384,,2029.0,53856.0,0.03767453951277481,,2029.0,53856.0,0.03767453951277481,,53104.0,21588.0,2.4598851213637207,,22914.0,369048.0,0.06208948429472589,,139843.0,0.0,Infinity,,14657.0,319820.0,0.04582890375836408,,
LF11_0,68480.0,1387058.0,0.04937068240837802,,172645.0,491176.0,0.35149315113116275,,187502.0,654914.0,0.28630018597861706,,318753.0,629383.0,0.5064531453820647,,51464.0,483289.0,0.10648700880839415,,260515.0,575100.0,0.4529907842114415,,93617.0,518316.0,0.18061761550868582,,77276.0,18574.0,4.160439323785937,,12525.0,35356.0,0.35425387487272314,,1178706.0,284374.0,4.144914795304775,,127079.0,0.0,Infinity,,5231.0,403244.0,0.012972294690063585,,561555.0,164486.0,3.413998759772868,,2215008.0,540304.0,4.099558766916402,,250333.0,0.0,Infinity,,84737.0,611132.0,0.13865580594699672,,265106.0,1028565.0,0.2577435553416653,,29323.0,742163.0,0.0395101884626423,,74468.0,553208.0,0.1346112131422539,,84701.0,653808.0,0.1295502655213763,,467539.0,172136.0,2.7161023841613607,,272389.0,835049.0,0.3261952292619954,,60108.0,733737.0,0.0819203611103161,,281882.0,1265611.0,0.22272404395979492,,21906.0,84314.0,0.25981450292952535,,13208.0,127114.0,0.1039067293925138,,13208.0,127114.0,0.1039067293925138,,73130.0,31213.0,2.342934033896133,,40300.0,689585.0,0.05844094636629277,,260884.0,0.0,Infinity,,45457.0,504676.0,0.09007164992985599,,
LF11_10,27465.0,666443.0,0.0412113264000072,,59029.0,246018.0,0.2399377281337138,,36284.0,270011.0,0.13437971045624067,,67928.0,256237.0,0.265098326939513,,8219.0,223670.0,0.03674609916394689,,46327.0,255322.0,0.18144539052647246,,16619.0,235060.0,0.07070109759210415,,38937.0,9381.0,4.150623600895427,,6865.0,18063.0,0.3800586834966506,,586374.0,139552.0,4.20183157532676,,67752.0,0.0,Infinity,,890.0,148672.0,0.005986332328885062,,305135.0,86969.0,3.508549023215169,,1026267.0,247647.0,4.144072005717816,,113647.0,0.0,Infinity,,14838.0,260015.0,0.057065938503547874,,41036.0,429401.0,0.0955656833589116,,21481.0,329778.0,0.06513775934113251,,11613.0,242107.0,0.04796639502368787,,12726.0,292313.0,0.04353552527598841,,363344.0,131622.0,2.7605111607482034,,118310.0,388546.0,0.3044941911639806,,94834.0,260368.0,0.3642306274196522,,528924.0,519009.0,1.0191037149644804,,3983.0,53103.0,0.07500517861514415,,5193.0,200687.0,0.02587611554310942,,5193.0,200687.0,0.02587611554310942,,42987.0,17938.0,2.3964210056862525,,19512.0,356838.0,0.05468027508281069,,135800.0,0.0,Infinity,,8112.0,253371.0,0.0320162923144322,,
LF11_5,30349.0,1218297.0,0.024911002817867893,,90831.0,442689.0,0.2051801603382962,,90407.0,562022.0,0.16086025102220197,,143688.0,513105.0,0.2800362498903733,,22016.0,427613.0,0.05148580609102155,,135192.0,499614.0,0.27059289771703754,,53307.0,458089.0,0.11636821665658857,,63079.0,15301.0,4.122541010391478,,11184.0,32570.0,0.3433834817316549,,1059829.0,254176.0,4.169665900793151,,133273.0,0.0,Infinity,,2907.0,338683.0,0.008583247461490539,,691611.0,184650.0,3.745523964256702,,2083572.0,503301.0,4.139812954871935,,229154.0,0.0,Infinity,,42849.0,518034.0,0.08271464807329248,,107195.0,842712.0,0.12720241316131728,,23719.0,686951.0,0.03452793576252164,,27164.0,425208.0,0.06388402852251134,,40281.0,559099.0,0.07204627445228841,,625055.0,225039.0,2.77754078182004,,187684.0,701442.0,0.2675688082549947,,213191.0,534750.0,0.39867414679756896,,664132.0,1015913.0,0.6537292071269882,,13428.0,120423.0,0.11150693804339702,,16738.0,463652.0,0.03610035112541302,,16738.0,463652.0,0.03610035112541302,,106715.0,42564.0,2.507165679917301,,38043.0,620834.0,0.061277249635168174,,234555.0,0.0,Infinity,,23214.0,477808.0,0.04858436861668285,,
LF12_0,21093.0,623844.0,0.03381133744974705,,112744.0,226509.0,0.49774622641925925,,41505.0,266275.0,0.15587268801051543,,32913.0,254289.0,0.129431473638262,,11742.0,221244.0,0.05307262569832402,,68463.0,258030.0,0.26532961283571677,,20760.0,233513.0,0.08890297328200143,,24340.0,6034.0,4.033808418959231,,5011.0,17776.0,0.2818969396939694,,555971.0,132178.0,4.206229478430601,,59586.0,0.0,Infinity,,1614.0,167429.0,0.009639907065084304,,130769.0,44707.0,2.9250229270584023,,975044.0,237871.0,4.0990452808455,,110959.0,0.0,Infinity,,21693.0,268482.0,0.08079871276286678,,62351.0,456780.0,0.13650116029598494,,4597.0,337929.0,0.01360344924525566,,19642.0,267770.0,0.07335399783396199,,18590.0,298048.0,0.062372503757783984,,57595.0,23978.0,2.4019934940362,,79531.0,376037.0,0.2114978047372998,,14111.0,332032.0,0.04249891576715497,,65285.0,547177.0,0.1193123979991849,,4318.0,31186.0,0.1384595651895081,,7607.0,137760.0,0.055219221835075494,,7607.0,137760.0,0.055219221835075494,,46055.0,19736.0,2.3335528982569924,,21033.0,312386.0,0.06733016204311333,,119187.0,0.0,Infinity,,11250.0,241262.0,0.04662980494234484,,
LF12_10,30472.0,741899.0,0.04107297624070123,,135473.0,275670.0,0.4914317843798745,,44494.0,317936.0,0.1399464043077852,,42529.0,303282.0,0.1402292256052123,,11956.0,258492.0,0.04625288210080002,,78439.0,299665.0,0.2617556271169473,,28416.0,274105.0,0.10366830229291694,,27445.0,6879.0,3.9896787323738914,,6640.0,19854.0,0.3344414223833988,,645596.0,153899.0,4.1949330405005885,,75197.0,0.0,Infinity,,1382.0,187569.0,0.0073679552591313065,,225264.0,68337.0,3.2963694631019798,,1064683.0,257634.0,4.13254073608297,,118574.0,0.0,Infinity,,23556.0,302771.0,0.07780137463627626,,57432.0,503347.0,0.1141002131730198,,18023.0,354374.0,0.05085869730849329,,17721.0,270977.0,0.06539669418437727,,21860.0,325515.0,0.06715512341981168,,270887.0,98862.0,2.7400517893629504,,119237.0,407062.0,0.2929209800963981,,60079.0,295559.0,0.20327244306551315,,370967.0,558086.0,0.6647129653852633,,7337.0,63723.0,0.11513896081477645,,9877.0,290662.0,0.03398105015447496,,9877.0,290662.0,0.03398105015447496,,39069.0,16021.0,2.4386118219836463,,16890.0,283348.0,0.05960867908014173,,107172.0,0.0,Infinity,,12681.0,268227.0,0.047277119753044994,,
