,Pyruvate,,,Lactate,,,Alanine,,,Glycine,,,Valine,,,Leucine,,,Isoleucine,,,Succinate 1,,,Succinate 2,,,Succinate 3,,,Succinate 4,,,Proline,,,Fumarate 1,,,Fumarate 2,,,Fumarate 3,,,Methionine,,,Serine,,,a-kg,,,Threonine,,,Phenylalanine,,,Malate 1,,,Malate 2,,,Aspartate,,,Glutamate,,,Lysine,,,Histidine,,,Histidine,,,Citrate 1,,,Citrate 2,,,Citrate 3,,,Tyrosine,,,
,174.1,177.1,,261.1,264.1,,260.1,264.1,,246.1,249.1,,288.1,294.1,,302.1,309.1,,302.1,309.1,,289.1,290.1,,291.1,292.1,,293.1,294.1,,295.1,0,,286.1,292.1,,287.1,288.1,,289.1,290.1,,291.1,0,,320.2,326.2,,390.3,394.3,,346.2,350.2,,404.3,409.3,,336.2,346.2,,419.3,420.3,,421.3,422.3,,418.3,423.3,,432.3,438.3,,431.3,439.3,,440.3,449.3,,440.3,449.3,,459.3,460.3,,461.3,462.3,,463.3,0,,466.3,476.3,,
HB1_0,218458,1314770,,349076,468239,,166330,573248,,12828694,733244,,41299,450448,,243491,531614,,72615,480354,,193582,47196,,3344,0,,1119447,269325,,121006,0,,5875,366500,,888643,241506,,1880642,453388,,211863,0,,73439,572144,,219560,952296,,36904,710109,,57480,485206,,68507,615617,,766952,278868,,326275,824404,,36604,657139,,274191,1142685,,9342,43303,,649,0,,649,0,,4037,19801,,8280,0,,9009,0,,33329,457331,,
HB1_10,35946,1236499,,79832,460239,,65417,575541,,131685,509073,,18627,448633,,116486,519307,,43329,478527,,70492,17601,,3393,0,,1119681,269168,,159497,0,,1769,338801,,499635,141219,,2032758,494253,,227781,0,,36609,524080,,78922,811668,,44903,543826,,15653,295620,,28851,565424,,446294,162838,,192343,695137,,62038,443767,,460748,951434,,9348,114844,,257,0,,11089,384082,,94096,37583,,34650,578013,,218799,0,,16965,484003,,
HB1_5,53337,1289768,,94074,448803,,78495,567766,,206882,509587,,22425,434401,,137355,506264,,52267,465479,,76451,18617,,1625,0,,1091190,261080,,133497,0,,2861,306897,,544553,159209,,2041980,495931,,227929,0,,42316,520338,,100328,826846,,71766,504225,,28324,429183,,36090,563309,,556250,203410,,196067,709397,,70973,452335,,506352,970872,,12585,116376,,13615,392569,,13615,392569,,81403,33108,,33329,571723,,216849,0,,20951,483085,,
HB11_0,83627,1245319,,295449,445779,,148295,587060,,127602,564989,,34155,445783,,186660,527351,,62798,476003,,68416,16635,,2128,0,,1095555,262278,,134832,0,,3335,363770,,381796,120406,,1878689,459698,,213626,0,,58646,562772,,180933,949985,,18023,634218,,47043,511171,,52803,590576,,279663,109511,,224196,733531,,58715,629719,,158989,1085574,,14894,83281,,16675,204086,,16675,204086,,63583,27313,,35290,572747,,217976,0,,28300,466826,,
HB11_10,33434,776097,,84627,280324,,51779,330175,,758723,343727,,9891,261511,,66547,306024,,25648,278102,,64949,15844,,850,0,,668423,159884,,82540,0,,1111,197243,,315412,91407,,1120208,270958,,125408,0,,22313,324475,,49714,546781,,20038,383019,,13252,274586,,18748,349859,,312917,114627,,113618,441560,,131421,352406,,365164,634810,,5826,74657,,9137,350485,,9137,350485,,42537,17590,,18728,350745,,132921,0,,10968,306649,,
HB11_5,104641,1490204,,182317,568042,,112425,738775,,126332,700589,,19221,557243,,136163,658490,,45531,598482,,121726,31216,,20729,43708,,1393197,333360,,169012,0,,2653,447372,,595222,181046,,2557675,628022,,291724,0,,46222,709044,,111178,1168949,,31555,913967,,29093,599391,,37822,736473,,837140,309796,,312670,944340,,262030,769152,,964312,1375806,,13433,171785,,20653,820738,,20653,820738,,115381,47159,,52106,872891,,334012,0,,21311,615363,,
HF1_0,81606,1139933,,164345,426097,,136341,512686,,209405,485597,,34199,422513,,189298,501915,,55793,451029,,84973,20535,,12943,32051,,1041954,249242,,112821,0,,3386,320887,,781068,213239,,1844830,445797,,207010,0,,56328,514572,,174441,863682,,23074,540753,,44118,449497,,55115,551586,,674081,247480,,278139,713864,,56659,565414,,176441,1003084,,7563,35156,,18,0,,369,0,,53296,23599,,33237,532311,,201279,0,,28832,419577,,
HF1_10,56098,1659178,,164610,597137,,80168,764840,,39138,684023,,20045,585039,,112265,685245,,42197,624656,,119951,28969,,19323,45221,,1422749,342751,,175475,0,,2831,468462,,877230,246423,,2579718,623943,,285149,0,,38502,705430,,90539,1145895,,173479,625512,,25030,594922,,28761,753665,,926073,336681,,327492,948768,,127696,630606,,1053714,1325917,,9583,154269,,368,0,,10569,470732,,288377,110798,,75083,825076,,310937,0,,17758,645251,,
HF1_5,28455,971475,,89178,351344,,51757,442591,,29984,393799,,15299,338557,,90059,391897,,34389,359442,,81136,19440,,12304,26445,,832249,199021,,88495,0,,1163,203353,,575937,157412,,1420479,341800,,155675,0,,28718,397684,,69167,645906,,109523,349410,,18646,343124,,23721,433923,,596719,215763,,194032,555449,,71871,351031,,737353,762282,,7136,81695,,6355,219367,,6355,219367,,143884,55808,,39508,482639,,182538,0,,14044,374335,,
HF11_0,41984,710322,,163925,265221,,83658,310081,,111973,311385,,24794,253264,,119119,293866,,39976,265565,,39314,9704,,6777,19714,,641172,153609,,68296,0,,2953,194267,,206956,64512,,1056917,258051,,119642,0,,38582,307605,,118915,528004,,12369,372575,,34257,291315,,40847,342782,,109380,43079,,129753,437317,,32427,371407,,145477,634657,,10576,48292,,11854,135339,,11854,135339,,47096,20067,,22867,380786,,144158,0,,24122,282889,,
HF11_10,63223,1355230,,158245,504813,,101621,655217,,95689,615819,,20745,489239,,116586,580029,,42709,526232,,75560,19378,,14236,37196,,1216555,291796,,143362,0,,2847,368729,,520291,155815,,2233930,544404,,249985,0,,40565,613975,,104252,1019260,,36303,738982,,27424,519081,,33288,645525,,614348,224457,,226055,808089,,214892,650802,,785083,1197859,,12411,151804,,19718,693046,,19718,693046,,112347,45495,,43702,642771,,244334,0,,20233,550112,,
HF11_5,20212,1201428,,140711,447535,,72688,573728,,89672,530807,,16523,436041,,93553,518737,,33647,470946,,56896,13682,,10372,31558,,1081174,260032,,118534,0,,2093,343578,,506133,149516,,2201825,535276,,244417,0,,33149,537156,,69260,860663,,18111,743320,,17856,408729,,26643,572246,,509917,183679,,159991,705410,,170394,563266,,727017,1021388,,9129,125273,,12275,538804,,12275,538804,,124981,49517,,43118,691634,,263830,0,,15227,473992,,
LB1_0,56638,1631950,,259129,585852,,202241,762311,,138955,713518,,50178,587695,,297138,697149,,91078,627513,,150853,35875,,20974,42873,,1424589,343354,,155545,0,,5197,483506,,1369880,366481,,2883702,696681,,317935,0,,89981,730140,,231662,1213033,,33433,912021,,66725,632247,,79686,778827,,1246112,451088,,448031,1044256,,43500,862356,,303431,1435403,,16278,53666,,2029,19430,,678,0,,221625,89033,,79420,988243,,375126,0,,37615,575217,,
LB1_10,46200,1520230,,181888,576742,,79601,722878,,482293,651228,,20642,554962,,130117,637429,,47487,588599,,120030,30157,,19945,42337,,1371773,329412,,162127,0,,2874,428808,,931832,257190,,2567374,619565,,282359,0,,38648,641253,,79679,1025324,,92332,729760,,21787,494529,,30622,695581,,1172181,422488,,340853,911827,,112755,563751,,1103997,1216147,,8794,122402,,302,0,,7683,309372,,170272,67543,,56248,785316,,295648,0,,17812,576058,,
LB1_5,44438,1823069,,202950,641980,,113226,811758,,102707,746744,,33947,617121,,211884,724608,,79804,657994,,102212,25065,,17177,45266,,1512931,363099,,169127,0,,3161,400830,,1037153,289120,,3178036,770357,,351680,0,,63259,731804,,131827,1203603,,35985,999295,,42246,677456,,54421,782553,,1075403,387740,,291594,1022391,,227997,800905,,641558,1416119,,14812,126424,,11460,319737,,11460,319737,,117180,47039,,46090,836759,,318373,0,,29612,651947,,
LB11_0,27217,604675,,78650,222741,,59735,261568,,59650,261620,,15656,215358,,86793,249379,,28090,225595,,32840,7978,,5695,16724,,546170,130605,,57838,0,,1459,164579,,198016,60849,,913875,222137,,103447,0,,27425,258304,,77473,446490,,7989,303772,,22210,246515,,27355,290661,,104613,41188,,97548,366344,,19718,314303,,79188,532885,,5838,32035,,5149,71235,,5149,71235,,30962,13266,,16397,275816,,104500,0,,14798,237107,,
LB11_10,27182,652343,,75164,245034,,34366,273673,,27611,259294,,6968,228305,,45716,259870,,16601,240663,,42482,10570,,7426,18416,,588662,140618,,66825,0,,997,176388,,308871,87576,,986947,237390,,108464,0,,15162,269479,,31902,445494,,27107,324731,,9159,232640,,12712,300018,,402046,145250,,127180,391987,,99676,265841,,634009,535483,,3839,59302,,5071,245216,,5071,245216,,50296,20205,,19775,327081,,123727,0,,7586,256807,,
LB11_5,88883,1315533,,172802,500049,,102374,645880,,94209,606107,,22940,488149,,150776,577249,,55056,524893,,111769,27398,,19381,38180,,1223735,293548,,153142,0,,2297,368035,,631550,185880,,2315862,564566,,261615,0,,52498,609478,,109687,1010272,,36467,782655,,29277,483785,,44565,642923,,850487,311683,,284048,831906,,236061,650299,,1266509,1214717,,14763,143267,,19776,594105,,19776,594105,,102954,41860,,46090,754446,,286624,0,,25174,544718,,
LF1_0,213879,3654131,,512626,1314227,,494487,1571302,,8119266,1710340,,135228,1258100,,651970,1501168,,223639,1351768,,1048211,254642,,124014,113039,,3128702,750820,,355583,0,,9701,848632,,6359025,1627190,,6619193,1576291,,705573,0,,192354,1502343,,568348,2457507,,70496,1627780,,0,0,,180475,1529249,,7849108,2827619,,1874107,2533231,,146725,1635256,,521252,2636649,,32603,38842,,2359,8630,,460,0,,350220,140751,,143420,1841872,,710392,0,,71017,873417,,
LF1_0_rep,76865,1377259,,177721,515218,,212907,682568,,3551303,731574,,55571,518132,,270106,615737,,93275,556478,,62996,15425,,11588,38686,,1264573,304661,,155146,0,,3974,445111,,336619,110968,,2151490,528172,,246813,0,,83820,654728,,254926,1103865,,32583,764494,,79397,614757,,81119,698190,,227397,87812,,249032,879575,,75962,756151,,255340,1306912,,11954,0,,804,0,,42220,437346,,147387,58932,,58427,838073,,316692,0,,44564,550141,,
LF1_10,43671,1718083,,145042,628956,,87121,799101,,178206,737540,,24489,602146,,136541,713242,,52980,646060,,124949,30992,,20921,46265,,1493954,356855,,173028,0,,2539,411775,,1080750,284733,,2941305,710845,,325474,0,,46236,756481,,94324,1239375,,32384,989598,,26856,610964,,35338,768596,,947855,343634,,275781,977008,,205046,777836,,617683,1372681,,9531,128375,,7265,277418,,7265,277418,,106640,43846,,43017,765165,,290715,0,,20847,644979,,
LF1_5,45653,868123,,73777,305745,,55029,374045,,38758,322504,,16806,290931,,92430,337509,,35125,310192,,69310,17108,,11309,23003,,719145,171347,,81220,0,,1272,206113,,591703,151617,,1266577,304648,,142428,0,,27327,333388,,63191,566099,,15883,369317,,18445,279582,,25610,372448,,436145,159530,,153099,486460,,83277,340173,,318162,641902,,5615,40753,,2029,53856,,2029,53856,,53104,21588,,22914,369048,,139843,0,,14657,319820,,
LF11_0,68480,1387058,,172645,491176,,187502,654914,,318753,629383,,51464,483289,,260515,575100,,93617,518316,,77276,18574,,12525,35356,,1178706,284374,,127079,0,,5231,403244,,561555,164486,,2215008,540304,,250333,0,,84737,611132,,265106,1028565,,29323,742163,,74468,553208,,84701,653808,,467539,172136,,272389,835049,,60108,733737,,281882,1265611,,21906,84314,,13208,127114,,13208,127114,,73130,31213,,40300,689585,,260884,0,,45457,504676,,
LF11_10,27465,666443,,59029,246018,,36284,270011,,67928,256237,,8219,223670,,46327,255322,,16619,235060,,38937,9381,,6865,18063,,586374,139552,,67752,0,,890,148672,,305135,86969,,1026267,247647,,113647,0,,14838,260015,,41036,429401,,21481,329778,,11613,242107,,12726,292313,,363344,131622,,118310,388546,,94834,260368,,528924,519009,,3983,53103,,5193,200687,,5193,200687,,42987,17938,,19512,356838,,135800,0,,8112,253371,,
LF11_5,30349,1218297,,90831,442689,,90407,562022,,143688,513105,,22016,427613,,135192,499614,,53307,458089,,63079,15301,,11184,32570,,1059829,254176,,133273,0,,2907,338683,,691611,184650,,2083572,503301,,229154,0,,42849,518034,,107195,842712,,23719,686951,,27164,425208,,40281,559099,,625055,225039,,187684,701442,,213191,534750,,664132,1015913,,13428,120423,,16738,463652,,16738,463652,,106715,42564,,38043,620834,,234555,0,,23214,477808,,
LF12_0,21093,623844,,112744,226509,,41505,266275,,32913,254289,,11742,221244,,68463,258030,,20760,233513,,24340,6034,,5011,17776,,555971,132178,,59586,0,,1614,167429,,130769,44707,,975044,237871,,110959,0,,21693,268482,,62351,456780,,4597,337929,,19642,267770,,18590,298048,,57595,23978,,79531,376037,,14111,332032,,65285,547177,,4318,31186,,7607,137760,,7607,137760,,46055,19736,,21033,312386,,119187,0,,11250,241262,,
LF12_10,30472,741899,,135473,275670,,44494,317936,,42529,303282,,11956,258492,,78439,299665,,28416,274105,,27445,6879,,6640,19854,,645596,153899,,75197,0,,1382,187569,,225264,68337,,1064683,257634,,118574,0,,23556,302771,,57432,503347,,18023,354374,,17721,270977,,21860,325515,,270887,98862,,119237,407062,,60079,295559,,370967,558086,,7337,63723,,9877,290662,,9877,290662,,39069,16021,,16890,283348,,107172,0,,12681,268227,,
